Location,Latitude,Longitude,Date,Parameter,Sample Fraction,Value,Unit,Organization
RBA,40.27351,-74.52587,2010-08-22,Orthophosphate,,0.13,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
HO1,40.34053,-74.74313,2010-02-19,Nitrate,,0.6,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
BD4,40.384418,-74.740618,2010-09-18,Nitrate,,0.2,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
SB2,40.352824,-74.710443,2010-06-18,Nitrate,,2.4,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
RBA,40.27351,-74.52587,2010-09-19,Orthophosphate,,0.13,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
Fiddlers Creek On Route 29,40.310788,-74.884859,2010-06-09,Escherichia coli,Total,180.0,#/100mL,NJDEP Bureau of Freshwater and Biological Monitoring
SB1,40.33286,-74.69188,2010-11-19,Nitrate,,0.4,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
JACOBS CREEK AT BEAR TAVERN,40.3072,-74.8338,2010-11-15,Phosphate-phosphorus,Total,0.0373,mg/L,NJDEP Bureau of Freshwater and Biological Monitoring
ASSUNPINK CREEK AT WINDSOR ROAD,40.21844,-74.55988,2010-09-14,Kjeldahl nitrogen,Total,0.874,mg/L,NJDEP Bureau of Freshwater and Biological Monitoring
STONY BK AT PRINCETON NJ,40.3338,-74.6821,2010-05-17,Inorganic nitrogen (nitrate and nitrite) ***retired***use Nitrate + Nitrite,Total,0.596,mg/L,NJDEP Bureau of Freshwater and Biological Monitoring
SB2,40.352824,-74.710443,2010-03-19,Nitrate,,0.5,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
Fiddlers Creek On Route 29,40.310788,-74.884859,2010-05-19,Escherichia coli,Total,900.0,#/100mL,NJDEP Bureau of Freshwater and Biological Monitoring
DP3,40.306451,-74.667833,2010-11-20,Orthophosphate,,0.1,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
Stony Brook On Pennington Rocky Hill Road,40.331617,-74.777517,2010-06-09,Escherichia coli,Total,110.0,#/100mL,NJDEP Bureau of Freshwater and Biological Monitoring
HO1,40.34053,-74.74313,2010-12-18,Nitrate,,2.4,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
SB2,40.352824,-74.710443,2010-07-16,Nitrate,,1.2,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
STONY BK AT PRINCETON NJ,40.3338,-74.6821,2010-07-06,Ammonia-nitrogen,Dissolved,0.0331,mg/L,NJDEP Bureau of Freshwater and Biological Monitoring
STONY BK AT PRINCETON NJ,40.3338,-74.6821,2010-07-06,Kjeldahl nitrogen,Dissolved,0.375,mg/L,NJDEP Bureau of Freshwater and Biological Monitoring
SB4,40.33175,-74.77833,2010-01-15,Nitrate,,1.6,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
Stony Brook trib 3 near Hopewell,40.403333,-74.801667,2010-06-02,Escherichia coli,Total,330.0,#/100mL,NJDEP Bureau of Freshwater and Biological Monitoring
BD4,40.384418,-74.740618,2010-12-19,Nitrate,,1.0,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
SB5,40.37422,-74.793866,2010-06-19,Nitrate,,0.3,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
ASSUNPINK CREEK AT WINDSOR ROAD,40.21844,-74.55988,2010-03-16,Phosphate-phosphorus,Dissolved,0.0234,mg/L,NJDEP Bureau of Freshwater and Biological Monitoring
BB1,40.318355,-74.612535,2010-04-16,Nitrate,,1.2,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
BB1,40.318355,-74.612535,2010-01-15,Orthophosphate,,0.17,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
Stony Brook On Titus Mill Road,40.349373,-74.782116,2010-05-26,Escherichia coli,Total,290.0,#/100mL,NJDEP Bureau of Freshwater and Biological Monitoring
RBA,40.27351,-74.52587,2010-11-19,Nitrate,,0.5,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
HA1,40.365994,-74.627397,2010-07-17,Orthophosphate,,0.27,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
HO1,40.34053,-74.74313,2010-01-16,Nitrate,,0.8,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
SB1,40.33286,-74.69188,2010-03-19,Nitrate,,0.4,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
SB1,40.33286,-74.69188,2010-06-19,Orthophosphate,,0.07,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
SB1,40.33286,-74.69188,2010-12-17,Orthophosphate,,0.07,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
SB1,40.33286,-74.69188,2010-12-17,Nitrate,,1.0,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
"MIRY RUN AT RT 533, MERCERVILLE",40.24686,-74.6872,2010-06-02,Escherichia coli,Total,2800.0,#/100mL,NJDEP Bureau of Freshwater and Biological Monitoring
SB1,40.33286,-74.69188,2010-07-17,Nitrate,,0.4,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
BB1,40.318355,-74.612535,2010-03-19,Nitrate,,1.2,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
DP3,40.306451,-74.667833,2010-06-20,Orthophosphate,,0.27,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
Stony Brook On Pennington Rocky Hill Road,40.331617,-74.777517,2010-05-12,Escherichia coli,Total,1700.0,#/100mL,NJDEP Bureau of Freshwater and Biological Monitoring
HA1,40.365994,-74.627397,2010-10-16,Orthophosphate,,0.13,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
JACOBS CREEK AT BEAR TAVERN,40.3072,-74.8338,2010-11-15,Inorganic nitrogen (nitrate and nitrite) ***retired***use Nitrate + Nitrite,Total,2.17,mg/L,NJDEP Bureau of Freshwater and Biological Monitoring
Crosswicks Creek On Route 206,40.182083,-74.704457,2010-06-03,Escherichia coli,Total,100.0,#/100mL,NJDEP Bureau of Freshwater and Biological Monitoring
HO1,40.34053,-74.74313,2010-10-16,Nitrate,,2.0,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
SB4,40.33175,-74.77833,2010-11-21,Orthophosphate,,0.27,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
ASSUNPINK CREEK AT WINDSOR ROAD,40.21844,-74.55988,2010-03-16,Kjeldahl nitrogen,Total,0.396,mg/L,NJDEP Bureau of Freshwater and Biological Monitoring
RBA,40.27351,-74.52587,2010-10-17,Nitrate,,0.4,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
Crosswicks Creek On Route 206,40.182083,-74.704457,2010-06-10,Escherichia coli,Total,2000.0,#/100mL,NJDEP Bureau of Freshwater and Biological Monitoring
"MIRY RUN AT RT 533, MERCERVILLE",40.24686,-74.6872,2010-05-12,Escherichia coli,Total,1500.0,#/100mL,NJDEP Bureau of Freshwater and Biological Monitoring
SB2,40.352824,-74.710443,2010-11-19,Orthophosphate,,0.07,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
HO2,40.357435,-74.765537,2010-09-19,Nitrate,,0.2,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
BB1,40.318355,-74.612535,2010-05-14,Orthophosphate,,0.1,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
STONY BK AT PRINCETON NJ,40.3338,-74.6821,2010-05-17,Phosphate-phosphorus,Dissolved,0.0865,mg/L,NJDEP Bureau of Freshwater and Biological Monitoring
PL1,40.270199,-74.522059,2010-09-18,Nitrate,,0.2,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
HO1,40.34053,-74.74313,2010-06-19,Nitrate,,0.5,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
BB1,40.318355,-74.612535,2010-02-19,Orthophosphate,,0.17,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
BD4,40.384418,-74.740618,2010-02-20,Nitrate,,0.2,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
Stony Brook trib 3 near Hopewell,40.403333,-74.801667,2010-05-26,Escherichia coli,Total,200.0,#/100mL,NJDEP Bureau of Freshwater and Biological Monitoring
Stony Brook On Titus Mill Road,40.349373,-74.782116,2010-06-09,Escherichia coli,Total,340.0,#/100mL,NJDEP Bureau of Freshwater and Biological Monitoring
Stony Brook On Titus Mill Road,40.349373,-74.782116,2010-05-19,Escherichia coli,Total,5700.0,#/100mL,NJDEP Bureau of Freshwater and Biological Monitoring
BD4,40.384418,-74.740618,2010-06-19,Nitrate,,0.2,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
PL1,40.270199,-74.522059,2010-10-16,Nitrate,,0.3,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
PL1,40.270199,-74.522059,2010-06-19,Nitrate,,0.2,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
RBA,40.27351,-74.52587,2010-10-17,Orthophosphate,,0.13,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
STONY BK AT PRINCETON NJ,40.3338,-74.6821,2010-03-01,Kjeldahl nitrogen,Dissolved,0.238,mg/L,NJDEP Bureau of Freshwater and Biological Monitoring
BB1,40.318355,-74.612535,2010-11-21,Orthophosphate,,0.07,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
SB2,40.352824,-74.710443,2010-11-19,Nitrate,,1.2,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
Stony Brook On Pennington Rocky Hill Road,40.331617,-74.777517,2010-05-19,Escherichia coli,Total,3800.0,#/100mL,NJDEP Bureau of Freshwater and Biological Monitoring
STONY BK AT PRINCETON NJ,40.3338,-74.6821,2010-11-15,Kjeldahl nitrogen,Total,0.393,mg/L,NJDEP Bureau of Freshwater and Biological Monitoring
JACOBS CREEK AT BEAR TAVERN,40.3072,-74.8338,2010-05-17,Kjeldahl nitrogen,Dissolved,0.193,mg/L,NJDEP Bureau of Freshwater and Biological Monitoring
STONY BK AT PRINCETON NJ,40.3338,-74.6821,2010-03-01,Phosphate-phosphorus,Dissolved,0.0256,mg/L,NJDEP Bureau of Freshwater and Biological Monitoring
SB1,40.33286,-74.69188,2010-02-19,Nitrate,,0.4,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
STONY BK AT PRINCETON NJ,40.3338,-74.6821,2010-11-15,Inorganic nitrogen (nitrate and nitrite) ***retired***use Nitrate + Nitrite,Total,1.07,mg/L,NJDEP Bureau of Freshwater and Biological Monitoring
JACOBS CREEK AT BEAR TAVERN,40.3072,-74.8338,2010-11-15,Kjeldahl nitrogen,Total,0.247,mg/L,NJDEP Bureau of Freshwater and Biological Monitoring
PL1,40.270199,-74.522059,2010-11-19,Nitrate,,0.3,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
SB1,40.33286,-74.69188,2010-01-15,Nitrate,,1.2,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
HA1,40.365994,-74.627397,2010-06-19,Orthophosphate,,0.1,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
STONY BK AT PRINCETON NJ,40.3338,-74.6821,2010-05-17,Ammonia-nitrogen,Dissolved,0.0162,mg/L,NJDEP Bureau of Freshwater and Biological Monitoring
ASSUNPINK CREEK AT WINDSOR ROAD,40.21844,-74.55988,2010-09-14,Inorganic nitrogen (nitrate and nitrite) ***retired***use Nitrate + Nitrite,Total,1.12,mg/L,NJDEP Bureau of Freshwater and Biological Monitoring
DP3,40.306451,-74.667833,2010-11-20,Nitrate,,1.0,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
Stony Brook On Pennington Rocky Hill Road,40.331617,-74.777517,2010-05-26,Escherichia coli,Total,160.0,#/100mL,NJDEP Bureau of Freshwater and Biological Monitoring
Stony Brook trib 3 near Hopewell,40.403333,-74.801667,2010-05-19,Escherichia coli,Total,1000.0,#/100mL,NJDEP Bureau of Freshwater and Biological Monitoring
BB1,40.318355,-74.612535,2010-09-19,Nitrate,,0.4,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
STONY BK AT PRINCETON NJ,40.3338,-74.6821,2010-03-01,Phosphate-phosphorus,Total,0.0403,mg/L,NJDEP Bureau of Freshwater and Biological Monitoring
STONY BK AT PRINCETON NJ,40.3338,-74.6821,2010-07-06,Inorganic nitrogen (nitrate and nitrite) ***retired***use Nitrate + Nitrite,Total,0.126,mg/L,NJDEP Bureau of Freshwater and Biological Monitoring
Crosswicks Creek On Route 206,40.182083,-74.704457,2010-05-13,Escherichia coli,Total,1200.0,#/100mL,NJDEP Bureau of Freshwater and Biological Monitoring
BB1,40.318355,-74.612535,2010-11-21,Nitrate,,0.8,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
BD4,40.384418,-74.740618,2010-01-17,Orthophosphate,,0.07,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
Stony Brook On Titus Mill Road,40.349373,-74.782116,2010-06-02,Escherichia coli,Total,620.0,#/100mL,NJDEP Bureau of Freshwater and Biological Monitoring
ASSUNPINK CREEK AT WINDSOR ROAD,40.21844,-74.55988,2010-09-14,Ammonia-nitrogen,Dissolved,0.0566,mg/L,NJDEP Bureau of Freshwater and Biological Monitoring
SB4,40.33175,-74.77833,2010-05-15,Orthophosphate,,0.07,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
JACOBS CREEK AT BEAR TAVERN,40.3072,-74.8338,2010-09-27,Kjeldahl nitrogen,Total,1.09,mg/L,NJDEP Bureau of Freshwater and Biological Monitoring
DP3,40.306451,-74.667833,2010-07-18,Nitrate,,1.0,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
ASSUNPINK CREEK AT WINDSOR ROAD,40.21844,-74.55988,2010-03-16,Phosphate-phosphorus,Total,0.0702,mg/L,NJDEP Bureau of Freshwater and Biological Monitoring
Bear Brook at Rt 535 near Locust Corner,40.278056,-74.577222,2010-06-09,Escherichia coli,Total,470.0,#/100mL,NJDEP Bureau of Freshwater and Biological Monitoring
SB1,40.33286,-74.69188,2010-08-20,Orthophosphate,,0.1,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
HA1,40.365994,-74.627397,2010-12-18,Orthophosphate,,0.07,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
HA1,40.365994,-74.627397,2010-02-21,Nitrate,,0.6,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
ASSUNPINK CREEK AT WINDSOR ROAD,40.21844,-74.55988,2010-12-02,Kjeldahl nitrogen,Total,0.455,mg/L,NJDEP Bureau of Freshwater and Biological Monitoring
SB4,40.33175,-74.77833,2010-04-18,Nitrate,,0.4,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
SB4,40.33175,-74.77833,2010-08-20,Nitrate,,8.0,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
JACOBS CREEK AT BEAR TAVERN,40.3072,-74.8338,2010-03-01,Kjeldahl nitrogen,Total,0.208,mg/L,NJDEP Bureau of Freshwater and Biological Monitoring
HA1,40.365994,-74.627397,2010-11-20,Orthophosphate,,0.07,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
SB4,40.33175,-74.77833,2010-10-15,Nitrate,,1.6,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
"MIRY RUN AT RT 533, MERCERVILLE",40.24686,-74.6872,2010-05-26,Escherichia coli,Total,160.0,#/100mL,NJDEP Bureau of Freshwater and Biological Monitoring
ASSUNPINK CREEK AT WINDSOR ROAD,40.21844,-74.55988,2010-06-07,Inorganic nitrogen (nitrate and nitrite) ***retired***use Nitrate + Nitrite,Total,0.394,mg/L,NJDEP Bureau of Freshwater and Biological Monitoring
BB1,40.318355,-74.612535,2010-10-17,Nitrate,,0.5,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
BB1,40.318355,-74.612535,2010-10-17,Orthophosphate,,0.1,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
RBA,40.27351,-74.52587,2010-11-19,Orthophosphate,,0.13,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
UNT Delaware River (Reeders Creek) On River Road,40.258341,-74.839359,2010-05-26,Escherichia coli,Total,230.0,#/100mL,NJDEP Bureau of Freshwater and Biological Monitoring
PL1,40.270199,-74.522059,2010-12-18,Nitrate,,0.3,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
ASSUNPINK CREEK AT WINDSOR ROAD,40.21844,-74.55988,2010-12-02,Ammonia-nitrogen,Dissolved,0.127,mg/L,NJDEP Bureau of Freshwater and Biological Monitoring
HA1,40.365994,-74.627397,2010-05-15,Orthophosphate,,0.07,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
SB4,40.33175,-74.77833,2010-12-17,Nitrate,,3.2,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
RBA,40.27351,-74.52587,2010-01-15,Orthophosphate,,0.17,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
HA1,40.365994,-74.627397,2010-09-18,Orthophosphate,,0.33,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
DP3,40.306451,-74.667833,2010-01-17,Nitrite,,0.2,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
JACOBS CREEK AT BEAR TAVERN,40.3072,-74.8338,2010-03-01,Orthophosphate,Dissolved,0.0291,mg/L,NJDEP Bureau of Freshwater and Biological Monitoring
"MIRY RUN AT RT 533, MERCERVILLE",40.24686,-74.6872,2010-05-19,Escherichia coli,Total,330.0,#/100mL,NJDEP Bureau of Freshwater and Biological Monitoring
SB1,40.33286,-74.69188,2010-06-19,Nitrate,,0.3,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
HA1,40.365994,-74.627397,2010-08-21,Nitrate,,0.3,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
JACOBS CREEK AT BEAR TAVERN,40.3072,-74.8338,2010-09-27,Phosphate-phosphorus,Dissolved,0.182,mg/L,NJDEP Bureau of Freshwater and Biological Monitoring
ASSUNPINK CREEK AT WINDSOR ROAD,40.21844,-74.55988,2010-03-16,Ammonia-nitrogen,Dissolved,0.0268,mg/L,NJDEP Bureau of Freshwater and Biological Monitoring
HO2,40.357435,-74.765537,2010-09-19,Orthophosphate,,0.27,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
JACOBS CREEK AT BEAR TAVERN,40.3072,-74.8338,2010-03-01,Phosphate-phosphorus,Dissolved,0.0243,mg/L,NJDEP Bureau of Freshwater and Biological Monitoring
Bear Brook at Rt 535 near Locust Corner,40.278056,-74.577222,2010-06-02,Escherichia coli,Total,300.0,#/100mL,NJDEP Bureau of Freshwater and Biological Monitoring
BB1,40.318355,-74.612535,2010-03-19,Orthophosphate,,0.1,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
ASSUNPINK CREEK AT WINDSOR ROAD,40.21844,-74.55988,2010-09-14,Phosphate-phosphorus,Dissolved,0.0325,mg/L,NJDEP Bureau of Freshwater and Biological Monitoring
BB1,40.318355,-74.612535,2010-06-19,Orthophosphate,,0.17,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
HA1,40.365994,-74.627397,2010-06-19,Nitrate,,4.0,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
JACOBS CREEK AT BEAR TAVERN,40.3072,-74.8338,2010-05-17,Inorganic nitrogen (nitrate and nitrite) ***retired***use Nitrate + Nitrite,Total,0.798,mg/L,NJDEP Bureau of Freshwater and Biological Monitoring
SB4,40.33175,-74.77833,2010-12-17,Orthophosphate,,0.17,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
ASSUNPINK CREEK AT WINDSOR ROAD,40.21844,-74.55988,2010-03-16,Kjeldahl nitrogen,Dissolved,0.163,mg/L,NJDEP Bureau of Freshwater and Biological Monitoring
ASSUNPINK CREEK,40.20733282,-74.5498764,2010-06-17,Escherichia coli,Total,130.0,#/100mL,Monmouth County Health Department
STONY BK AT PRINCETON NJ,40.3338,-74.6821,2010-05-17,Kjeldahl nitrogen,Dissolved,0.341,mg/L,NJDEP Bureau of Freshwater and Biological Monitoring
HO1,40.34053,-74.74313,2010-04-16,Nitrate,,0.2,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
ASSUNPINK CREEK AT WINDSOR ROAD,40.21844,-74.55988,2010-03-16,Orthophosphate,Dissolved,0.00686,mg/L,NJDEP Bureau of Freshwater and Biological Monitoring
BD4,40.384418,-74.740618,2010-01-17,Nitrate,,0.3,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
SB2,40.352824,-74.710443,2010-04-16,Nitrate,,0.8,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
HO3,40.361015,-74.766904,2010-05-15,Orthophosphate,,0.07,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
STONY BK AT PRINCETON NJ,40.3338,-74.6821,2010-11-15,Kjeldahl nitrogen,Dissolved,0.305,mg/L,NJDEP Bureau of Freshwater and Biological Monitoring
JACOBS CREEK AT BEAR TAVERN,40.3072,-74.8338,2010-09-27,Ammonia-nitrogen,Dissolved,0.00876,mg/L,NJDEP Bureau of Freshwater and Biological Monitoring
BB1,40.318355,-74.612535,2010-07-18,Nitrate,,2.0,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
DP3,40.306451,-74.667833,2010-03-21,Nitrate,,0.2,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
DP3,40.306451,-74.667833,2010-02-21,Orthophosphate,,0.13,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
SB2,40.352824,-74.710443,2010-12-18,Orthophosphate,,0.1,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
ASSUNPINK CREEK AT WINDSOR ROAD,40.21844,-74.55988,2010-06-07,Phosphate-phosphorus,Dissolved,0.0393,mg/L,NJDEP Bureau of Freshwater and Biological Monitoring
STONY BK AT PRINCETON NJ,40.3338,-74.6821,2010-03-01,Inorganic nitrogen (nitrate and nitrite) ***retired***use Nitrate + Nitrite,Total,0.791,mg/L,NJDEP Bureau of Freshwater and Biological Monitoring
SB4,40.33175,-74.77833,2010-03-20,Nitrate,,0.8,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
ASSUNPINK CREEK AT WINDSOR ROAD,40.21844,-74.55988,2010-12-02,Phosphate-phosphorus,Total,0.0488,mg/L,NJDEP Bureau of Freshwater and Biological Monitoring
JACOBS CREEK AT BEAR TAVERN,40.3072,-74.8338,2010-11-15,Kjeldahl nitrogen,Dissolved,0.174,mg/L,NJDEP Bureau of Freshwater and Biological Monitoring
SB5,40.37422,-74.793866,2010-01-16,Nitrate,,0.3,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
HO1,40.34053,-74.74313,2010-03-19,Nitrate,,0.5,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
STONY BK AT PRINCETON NJ,40.3338,-74.6821,2010-05-17,Phosphate-phosphorus,Total,0.108,mg/L,NJDEP Bureau of Freshwater and Biological Monitoring
ASSUNPINK CREEK,40.20733282,-74.5498764,2010-06-10,Escherichia coli,Total,230.0,#/100mL,Monmouth County Health Department
JACOBS CREEK AT BEAR TAVERN,40.3072,-74.8338,2010-05-17,Kjeldahl nitrogen,Total,0.228,mg/L,NJDEP Bureau of Freshwater and Biological Monitoring
SB5,40.37422,-74.793866,2010-04-17,Nitrate,,0.3,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
BD4,40.384418,-74.740618,2010-05-15,Orthophosphate,,0.07,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
ASSUNPINK CREEK,40.20733282,-74.5498764,2010-06-24,Escherichia coli,Total,130.0,#/100mL,Monmouth County Health Department
SB4,40.33175,-74.77833,2010-11-21,Nitrate,,1.2,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
Stony Brook trib 3 near Hopewell,40.403333,-74.801667,2010-05-12,Escherichia coli,Total,4900.0,#/100mL,NJDEP Bureau of Freshwater and Biological Monitoring
BD4,40.384418,-74.740618,2010-07-17,Nitrate,,0.2,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
Bear Brook at Rt 535 near Locust Corner,40.278056,-74.577222,2010-05-12,Escherichia coli,Total,4300.0,#/100mL,NJDEP Bureau of Freshwater and Biological Monitoring
RBA,40.27351,-74.52587,2010-02-21,Orthophosphate,,0.17,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
HO1,40.34053,-74.74313,2010-09-18,Nitrate,,0.4,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
BB1,40.318355,-74.612535,2010-08-22,Nitrate,,0.3,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
DP3,40.306451,-74.667833,2010-01-17,Orthophosphate,,0.13,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
ASSUNPINK CREEK AT WINDSOR ROAD,40.21844,-74.55988,2010-03-16,Inorganic nitrogen (nitrate and nitrite) ***retired***use Nitrate + Nitrite,Total,0.556,mg/L,NJDEP Bureau of Freshwater and Biological Monitoring
STONY BK AT PRINCETON NJ,40.3338,-74.6821,2010-11-15,Phosphate-phosphorus,Total,0.0645,mg/L,NJDEP Bureau of Freshwater and Biological Monitoring
HA1,40.365994,-74.627397,2010-04-17,Nitrate,,0.6,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
DP3,40.306451,-74.667833,2010-05-15,Nitrate,,1.0,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
RBA,40.27351,-74.52587,2010-09-19,Nitrate,,0.4,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
STONY BK AT PRINCETON NJ,40.3338,-74.6821,2010-07-06,Phosphate-phosphorus,Total,0.107,mg/L,NJDEP Bureau of Freshwater and Biological Monitoring
RBA,40.27351,-74.52587,2010-01-15,Nitrite,,0.8,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
STONY BK AT PRINCETON NJ,40.3338,-74.6821,2010-07-06,Phosphate-phosphorus,Dissolved,0.0815,mg/L,NJDEP Bureau of Freshwater and Biological Monitoring
STONY BK AT PRINCETON NJ,40.3338,-74.6821,2010-05-17,Orthophosphate,Dissolved,0.064,mg/L,NJDEP Bureau of Freshwater and Biological Monitoring
Fiddlers Creek On Route 29,40.310788,-74.884859,2010-06-02,Escherichia coli,Total,240.0,#/100mL,NJDEP Bureau of Freshwater and Biological Monitoring
BB1,40.318355,-74.612535,2010-04-16,Orthophosphate,,0.13,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
RBA,40.27351,-74.52587,2010-04-18,Orthophosphate,,0.13,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
SB5,40.37422,-74.793866,2010-07-17,Nitrate,,0.5,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
ASSUNPINK CREEK,40.20733282,-74.5498764,2010-06-03,Escherichia coli,Total,180.0,#/100mL,Monmouth County Health Department
HO1,40.34053,-74.74313,2010-05-15,Nitrate,,0.2,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
BD4,40.384418,-74.740618,2010-12-19,Orthophosphate,,0.07,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
DP3,40.306451,-74.667833,2010-10-17,Nitrate,,1.0,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
Bear Brook at Rt 535 near Locust Corner,40.278056,-74.577222,2010-05-19,Escherichia coli,Total,500.0,#/100mL,NJDEP Bureau of Freshwater and Biological Monitoring
STONY BK AT PRINCETON NJ,40.3338,-74.6821,2010-11-15,Phosphate-phosphorus,Dissolved,0.0567,mg/L,NJDEP Bureau of Freshwater and Biological Monitoring
JACOBS CREEK AT BEAR TAVERN,40.3072,-74.8338,2010-03-01,Inorganic nitrogen (nitrate and nitrite) ***retired***use Nitrate + Nitrite,Total,1.3,mg/L,NJDEP Bureau of Freshwater and Biological Monitoring
DP3,40.306451,-74.667833,2010-06-20,Nitrate,,1.0,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
