Location,Latitude,Longitude,Date,Parameter,Sample Fraction,Value,Unit,Organization
Crosswicks C at Crosswicks NJ,40.16,-74.65528,2016-01-06,Phosphate-phosphorus,Total,0.0562,mg/L,NJDEP Bureau of Freshwater and Biological Monitoring
BD4,40.384418,-74.740618,2016-07-23,Nitrate,Dissolved,1.0,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
Delaware River at Trenton,40.22032,-74.7777,2016-05-17,Phosphorus,Total,0.0474,mg/L,Delaware River Basin Commission
Millstone R nr Melville Rd,40.316838,-74.601036,2016-07-15,Phosphate-phosphorus,Total,0.159,mg/L,NJDEP Bureau of Freshwater and Biological Monitoring
BD4,40.384418,-74.740618,2016-01-17,Nitrate,Dissolved,0.8,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
RBA,40.27351,-74.52587,2016-02-20,Nitrate,Dissolved,0.3,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
Delaware River Morisville Transect 11.5,40.2189,-74.7744,2016-11-02,Ammonia,Dissolved,0.051,mg/L,PA DEPARTMENT OF ENVIRONMENTAL PROTECTION
BACK CREEK AT HAMILTON TOWNSHIP,40.192159,-74.665349,2016-10-13,Ammonia-nitrogen,Dissolved,0.037,mg/L,NJDEP Bureau of Freshwater and Biological Monitoring
Assunpink Creek at Mill Hill Park,40.21826,-74.763063,2016-08-01,Kjeldahl nitrogen,Total,0.921,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2016-06-07,Phosphorus,Total,0.0971,mg/L,Delaware River Basin Commission
SB2,40.352824,-74.710443,2016-04-15,Nitrate,Dissolved,0.3,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
HO1,40.34053,-74.74313,2016-01-16,Orthophosphate,Dissolved,0.2,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
Assunpink Creek at Mill Hill Park,40.21826,-74.763063,2016-09-08,Orthophosphate,Dissolved,1.24,mg/L,Delaware River Basin Commission
SB5,40.37422,-74.793866,2016-07-17,Nitrate,Dissolved,0.2,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
Harrys Brook,40.359046,-74.638738,2016-07-15,Nitrate,Dissolved,1.0,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
Stony Brook On Titus Mill Road,40.349373,-74.782116,2016-12-20,Kjeldahl nitrogen,Total,0.554,mg/L,NJDEP Bureau of Freshwater and Biological Monitoring
